ano,sigla_uf,id_municipio,ibc,cobertura_pop_4g5g,fibra,densidade_smp,hhi_smp,densidade_scm,hhi_scm,adensamento_estacoes
2022,RN,2412708,34.72,98.8529,0,55.43,45,1.37,55,8.65
2022,PB,2502201,37.88,96.2634,0,66.87,16,8.16,73,14.58
2022,PB,2512754,63.68,100,100,88.94,80,0.46,51,14.21
2022,PB,2513109,42.65,57.4186,100,31.54,26,6.72,55,5.79
2022,PE,2603207,44.88,75.0578,100,17.96,56,5.11,69,1.73
2022,PE,2609808,48.37,44.0579,100,68.35,63,18,3,3.67
2022,PE,2611705,39.25,98.3818,0,68.78,46,12.84,55,7.27
2022,PE,2614857,65.73,97.902,100,92.52,79,22.27,9,15.56
2022,SE,2806404,33.46,99.7805,0,35.99,75,0.05,72,6.8
2022,BA,2904001,22.19,41.7325,0,42.06,50,0.89,58,3.67
2022,BA,2908408,55.24,78.4681,100,68.6,85,4.35,45,1.72
2022,BA,2915601,58.94,81.8206,100,71.13,66,15.34,72,2.52
2022,BA,2916401,61.57,97.6534,100,77.47,77,6.03,70,2.28
2022,BA,2919405,49.7,64.5431,100,46.37,23,23.98,55,5.63
2022,BA,2923209,17.06,24.5362,0,38.76,13,7.92,47,3.22
2022,BA,2924801,46.19,56.9587,100,47.6,32,7.25,59,4.74
2022,BA,2930758,22.29,43.124,0,42.69,62,6.55,15,7.46
2022,MG,3105509,36.28,96.1063,0,55.24,58,6.62,42,16.78
2022,MG,3108008,59.18,93.4959,100,65.66,25,25.56,62,5.83
2022,MG,3116704,56.41,95.2809,100,60.28,42,20.83,18,9.36
2022,MG,3123106,49.2,60.4961,100,39.11,70,1.15,89,13.25
2022,MG,3133303,58.09,85.3875,100,75.69,50,13.05,53,4.35
2022,MG,3149606,61.03,90.3884,100,64.66,82,18.59,38,20.05
2022,MG,3153103,27.99,64.6402,0,42.91,60,16.97,12,10.31
2022,MG,3155603,25.75,47.0161,0,58.19,65,4.11,25,4.13
2022,MG,3156502,20.03,42.7759,0,36.05,4,0.41,81,5.87
